kind,depth,fold,city,n,prevalence,AP,roc_auc,F1,precision,change_acc,nochange_acc,accuracy
mring,3,2,paris,159093,0.002879,0.026945,0.932519,0.059505,0.032747,0.325328,0.972257,0.970395
mring,3,2,rennes,190825,0.025846,0.395641,0.957538,0.468549,0.369177,0.641119,0.970935,0.962411
mring,3,1,saclay_e,439624,0.009886,0.020930,0.667800,0.049582,0.035054,0.084676,0.976728,0.967909
mring,3,3,abudhabi,627215,0.037614,0.064877,0.662839,0.119328,0.072524,0.336470,0.831824,0.813192
mring,3,0,cupertino,799799,0.023673,0.287312,0.949390,0.365311,0.265030,0.587673,0.960484,0.951658
mring,3,1,pisa,557168,0.016386,0.039763,0.685136,0.078908,0.055092,0.138992,0.960286,0.946828
mring,3,4,beihai,696343,0.024870,0.140098,0.859130,0.214302,0.160282,0.323247,0.956809,0.941052
mring,3,3,hongkong,375300,0.035649,0.143264,0.811993,0.230547,0.153898,0.459302,0.906654,0.890706
mring,3,3,beirut,1262542,0.026865,0.148124,0.859075,0.221932,0.159226,0.366118,0.946630,0.931034
mring,3,0,mumbai,477906,0.025620,0.146813,0.847412,0.254461,0.188533,0.391294,0.955717,0.941256
